Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Egyptian,0.52,0,0.48,0.43,0.48,0.58,36.38,10.05,0.5,19.01,13.1,12.57,0.5,0.54,0.54,4.32
Egyptian,0.33,0.13,0.98,0.4,0.6,0.32,35.92,10.42,0.84,21.29,10.51,11.56,0.58,0.22,0.84,5.05
English,0.15,0.17,22.83,2.84,0.62,0,17.62,0.18,25.31,0,28.07,0.83,0.35,0.12,0.53,0.38
English,0.38,0.3,24.18,1.71,0.58,0.28,15.59,0.45,26.03,0.02,29.03,0.78,0.28,0.13,0.01,0.25
English,0.55,0.13,23.72,0.92,0.13,0.38,15.62,0.15,26.07,0.11,30.67,0.69,0.18,0.18,0,0.5
Erzya_Moksha,1.03,0.67,18.63,1,1.03,0.08,19.72,0.41,33.97,0.1,16.13,0.14,0.18,5.6,0.41,0.89
Esan,0.26,0.13,0.44,0.58,0.16,0.24,0.59,0.11,0.36,0.36,0.3,0.13,0.28,0.2,0.46,95.4
Eskimo,24.4,0.23,0.85,0.72,61.62,0.55,0,0.03,0.85,0.7,0,0.23,0,7.91,1.9,0
Eskimo,20.87,0.5,0.21,0.35,70.19,0.17,0.23,0.62,0.42,0.58,0.14,1.08,0,3.47,1.17,0
Eskimo,25.3,0.47,0.48,0.68,68.56,0.41,0.1,0.44,0.4,0.41,0,0.77,0.1,1.12,0.76,0
Eskimo_Sireniki,19.38,0.26,0.58,0.79,72.31,0.77,0.2,0.24,0.44,0.41,0,0.71,0.1,2.91,0.87,0.03
Estonian,0.38,0.37,20.19,0.43,0.52,0.29,15.87,0.44,38.03,0.01,19.8,0.04,0.37,2.47,0.15,0.63
Ethiopian,0.24,2.75,0.04,0.58,0.59,0.64,14.2,29.86,0.11,19.97,3.5,10.09,0.4,0.32,1.03,15.68
Jew,0.31,0.49,0,0.14,0.44,0.42,11.91,44.55,0.98,23.22,2.58,6.51,0.21,0.45,0.36,7.44
